num_features,num_tasks,num_roles,has_payment,has_admin,has_mobile,has_realtime,num_integrations,complexity_score,actual_hours
13,39,2,1,0,0,0,5,27.2,425.8
12,72,2,0,0,0,0,4,62.1,550.9
11,44,5,0,1,1,0,1,68.9,553.4
15,75,2,0,1,0,1,2,62.3,785.6
15,45,5,0,1,0,1,5,63.3,676.1
14,42,2,0,1,0,0,0,46.6,362.7
10,50,3,1,1,0,1,5,85.6,646.2
5,35,3,0,1,1,1,5,68.2,513.2
6,30,2,0,0,1,1,2,24.6,435.9
14,70,3,1,1,1,0,2,29.8,606.4
14,98,4,1,1,1,0,1,55.7,940.5
4,16,3,1,0,1,1,4,89.7,569.2
11,55,2,0,1,1,0,2,50.4,390.2
14,70,3,0,1,0,0,2,73.4,780.3
11,77,2,1,1,0,0,2,81.5,862.8
3,12,2,0,1,0,0,1,66.2,284.6
11,44,4,1,0,0,1,3,89.7,586.6
11,66,2,0,0,0,1,0,61.2,530.2
6,42,3,0,0,0,0,0,83.4,520.5
6,30,5,0,0,1,0,3,76.5,491.7
6,18,2,1,1,1,1,3,80.5,674.6
13,39,2,1,1,0,0,1,33.3,454.9
10,40,5,0,1,1,0,0,51.0,547.7
3,21,2,0,0,0,1,3,53.7,309.5
9,27,3,1,0,1,1,3,40.0,420.4
15,105,5,0,0,1,0,0,60.5,671.7
11,33,4,0,0,1,0,0,87.3,563.6
12,36,3,1,0,0,0,4,25.7,411.5
13,91,4,1,0,1,0,2,47.7,770.1
8,24,2,1,0,0,0,4,38.6,319.5
8,24,3,1,1,0,1,4,69.2,341.9
13,91,2,1,0,0,1,0,82.3,616.1
14,98,3,1,1,0,1,1,68.1,1010.2
7,21,2,1,1,0,0,2,74.0,388.6
13,65,3,1,1,0,0,0,86.2,701.1
3,15,3,1,0,0,1,2,82.9,403.9
15,45,4,0,0,0,1,4,81.9,500.4
5,20,3,0,1,0,0,5,84.7,540.3
15,90,3,1,0,0,1,0,80.1,890.8
10,50,4,0,0,0,0,3,43.0,602.9
4,20,4,1,1,0,0,2,32.5,359.5
4,28,5,1,1,1,0,3,83.0,580.5
6,30,2,1,0,0,1,3,24.9,344.2
8,24,4,1,1,1,1,5,40.7,447.8
5,20,5,1,0,1,1,4,78.4,526.4
15,105,4,1,1,1,0,4,53.1,1080.0
15,60,2,1,1,0,0,5,41.7,653.9
3,12,5,0,1,1,0,5,68.7,412.6
10,60,3,0,0,0,1,1,32.3,589.7
3,21,3,0,1,0,1,5,57.2,416.8
11,77,4,1,1,1,0,5,80.3,695.5
13,65,5,0,1,1,0,5,40.0,732.6
7,35,4,0,0,0,0,3,68.6,453.9
9,45,5,1,0,0,1,3,83.3,601.6
12,36,5,1,0,1,1,3,79.7,724.6
14,98,3,1,0,1,1,3,22.0,791.7
8,48,3,1,0,0,1,4,59.5,723.0
5,30,3,0,1,1,1,1,51.8,492.8
8,48,4,1,1,0,1,0,72.4,823.9
6,18,2,0,0,0,0,4,30.7,290.9
5,30,2,0,1,1,1,1,62.4,625.2
15,60,4,0,0,1,1,3,85.9,712.1
6,18,3,0,1,0,0,2,57.3,334.6
13,65,2,1,1,0,1,2,64.5,683.9
10,40,5,0,1,1,1,3,77.8,572.2
6,18,4,1,0,1,1,2,22.0,309.8
8,32,5,0,1,1,1,2,81.6,570.3
3,21,3,0,0,1,1,4,73.1,438.3
14,84,5,1,0,0,1,1,48.3,740.8
8,48,4,1,1,1,1,2,41.5,741.8
6,18,3,1,0,0,0,1,71.7,365.6
15,105,4,0,0,1,0,2,32.6,979.1
3,21,3,1,0,0,1,5,86.1,443.3
4,12,4,1,1,1,1,1,87.6,416.4
7,42,2,0,1,1,0,4,64.1,647.4
12,60,2,0,0,1,0,4,46.6,637.3
10,50,5,1,0,0,0,5,34.8,495.0
5,35,2,0,0,1,1,5,61.6,518.2
7,21,3,1,1,1,0,5,36.3,434.2
12,48,5,0,0,0,1,1,25.0,515.9
5,25,4,1,0,1,1,5,48.2,486.5
10,30,2,1,1,1,0,0,36.0,501.4
13,91,2,1,0,0,1,4,65.6,944.4
12,72,5,0,1,1,1,2,42.5,680.3
4,16,4,1,1,1,1,4,22.6,426.5
